Country,density,agriculturalLand,landArea,armedForcesSize,birthRate,co2Emissions,fertilityRate,forestedArea,gasolinePrice,gdp,grossPrimaryEducationEnrollment,grossTertiaryEducationEnrollment,infantMortality,lifeExpectancy,maternalMortalityRatio
"Guyana",4,8.6,214969,3,19.97,2384,2.46,77.9,0.9,4280443645,97.8,11.6,25.1,69.8,169
"Haiti",414,66.8,27750,0,24.35,2978,2.94,19.3,0.81,8498981821,113.6,1.1,49.5,63.7,480
"Honduras",89,28.9,112090,23,21.6,9813,2.46,34.6,0.98,25095395475,91.5,26.2,15.1,75.1,65
"Hungary",107,58.4,93028,40,9.6,45537,1.54,13.1,1.18,160967157504,100.8,48.5,3.6,75.8,12
"Iceland",3,18.7,103,0,12,2065,1.71,0.5,1.69,24188035739,100.4,71.8,1.5,82.7,4
"India",464,60.4,3287263,3031,17.86,2407672,2.22,14.1,0.97,2611000000000,113,28.1,29.9,69.4,145
"Indonesia",151,31.5,1904569,676,18.07,563325,2.31,42.8,0.63,1119190780753,106.4,36.3,21.1,71.5,177
"Iran",52,28.2,1648195,563,18.78,66171,2.14,51.6,0.4,445345282123,110.7,68.1,12.4,76.5,16
"Iraq",93,21.4,438317,209,29.08,190061,3.67,1.9,0.61,234094042939,108.7,16.2,22.5,70.5,79
"Ireland",72,,70273,9,12.5,37711,,,,388698711348,,,3.1,82.3,
"Israel",400,24.6,20770,178,20.8,65166,3.09,65.2,1.57,395098666122,104.9,63.4,3,82.8,3
"Italy",206,43.2,301340,347,7.3,320411,1.29,24.3,1.61,2001244392042,101.9,61.9,2.6,82.9,2
"Jamaica",273,41,10991,4,16.1,8225,1.98,22.4,1.11,16458071068,91,27.1,12.4,74.4,80
"Japan",347,12.3,377944,261,7.4,1135886,1.42,58.9,1.06,5081769542380,98.8,63.2,1.8,84.2,5
"Jordan",115,12,89342,116,21.98,25108,2.76,1.1,1.1,43743661972,81.5,34.4,13.9,74.4,46
"Kazakhstan",7,80.4,2724900,71,21.77,247207,2.84,1.2,0.42,180161741180,104.4,61.7,8.8,73.2,10
"Kenya",94,48.5,580367,29,28.75,1791,3.49,65.4,0.95,95503088538,103.2,11.5,30.6,66.3,342
"Kiribati",147,42,811,0,27.89,66,3.57,8.1,,194647202,101.3,,41.2,68.1,92
"Kuwait",240,8.4,17818,25,13.94,98734,2.08,0.4,0.35,134761198946,92.4,54.4,6.7,75.4,12
"Kyrgyzstan",34,55,199951,21,27.1,9787,3.3,19,0.56,8454619608,107.6,41.3,16.9,71.4,60
"Laos",32,10.3,236800,129,23.55,17763,2.67,74.1,0.93,18173839128,102.4,15,37.6,67.6,185
"Latvia",30,31.1,64589,6,10,7004,1.6,48.1,1.16,34117202555,99.4,88.1,3.3,74.7,19
"Lebanon",667,64.3,10400,80,17.55,24796,2.09,7.5,0.74,53367042272,95.1,26.3,6.4,78.9,29
"Lesotho",71,77.6,30355,2,26.81,2512,3.14,1.6,0.7,2460072444,120.9,10.2,65.7,53.7,544
"Liberia",53,28,111369,2,33.04,1386,4.32,39.3,0.8,3070518100,85.1,11.9,53.5,63.7,661
"Libya",4,8.7,1759540,0,18.83,50564,2.24,0.1,0.11,52076250948,109,60.5,10.2,72.7,72
"Liechtenstein",238,32.2,160,0,9.9,51,1.44,38.6,1.74,6552858739,104.7,35.6,5.3,83,
"Lithuania",43,47.2,65300,34,10,12963,1.63,32.7,1.16,54219315600,103.9,72.4,3.3,75.7,8
"Luxembourg",242,53.7,2586,2,10.3,8988,1.37,33.2,1.19,71104919108,102.3,19.2,1.9,82.1,5
"Madagascar",48,71.2,587041,22,32.66,3905,4.08,12.5,1.11,14083906357,142.5,5.4,38.2,66.7,335
"Malawi",203,61.4,118484,15,34.12,1298,4.21,30.9,1.15,7666704427,142.5,0.8,35.3,63.8,349
"Malaysia",99,26.3,329847,136,16.75,248289,2,57.7,0.45,364701517788,105.3,45.1,6.7,76,29
"Maldives",1802,26.3,298,5,14.2,1445,1.87,18.9,1.63,5729248472,97.1,31.2,7.4,78.6,53
"Mali",17,33.8,1240192,18,41.54,3179,5.88,19.7,1.12,17510141171,75.6,4.5,62,58.9,562
"Malta",1380,32.4,316,2,9.2,1342,1.23,1.1,1.36,14786156563,105,54.3,6.1,82.3,6
